time,ns1:ele,ns2:hr,ns2:cad
00:41:16,146.0,152,35
00:41:20,146.0,150,36
00:41:24,145.3999939,152,33
00:41:28,145.0,152,0
00:41:32,144.1999969,152,39
00:41:36,144.8000031,152,39
00:41:40,145.0,152,39
00:41:44,145.6000061,155,39
00:41:48,146.3999939,157,41
00:41:52,147.1999969,161,58
00:41:56,147.8000031,164,58
00:42:00,148.1999969,167,44
00:42:04,148.6000061,170,44
00:42:08,148.8000031,173,44
00:42:12,149.0,176,44
00:42:16,149.3999939,179,44
00:42:20,150.0,182,43
00:42:24,149.6000061,181,0
00:42:28,149.1999969,178,0
00:42:32,147.6000061,175,0
00:42:36,148.0,171,50
00:42:40,148.1999969,170,50
00:42:44,148.0,168,50
00:42:48,147.8000031,168,50
00:42:52,148.0,167,50
00:42:56,148.1999969,169,35
00:43:00,149.1999969,172,35
00:43:04,149.8000031,173,35
00:43:08,153.3999939,172,48
00:43:12,154.6000061,175,46
00:43:16,154.8000031,176,46
00:43:20,154.8000031,177,46
00:43:24,156.3999939,178,40
00:43:28,157.0,179,56
00:43:32,158.0,180,56
00:43:36,161.6000061,182,56
00:43:40,162.3999939,185,56
00:43:44,164.1999969,188,56
00:43:48,165.1999969,187,45
00:43:52,165.3999939,187,41
00:43:56,165.1999969,184,30
00:44:00,163.6000061,183,38
00:44:04,163.0,184,0
00:44:08,159.1999969,181,0
00:44:12,155.0,177,0
00:44:16,152.8000031,174,0
00:44:20,152.1999969,173,0
00:44:24,151.0,172,0
00:44:28,149.8000031,172,0
00:44:32,149.0,173,53
00:44:36,148.3999939,170,0
00:44:40,148.3999939,169,0
00:44:44,148.6000061,166,0
00:44:48,150.0,167,45
00:44:52,150.1999969,169,46
00:44:56,150.6000061,172,55
00:45:00,150.8000031,175,55
00:45:04,150.8000031,179,47
00:45:08,150.3999939,182,61
00:45:12,148.8000031,181,0
00:45:16,148.6000061,180,0
00:45:20,147.1999969,179,0
00:45:24,146.8000031,179,0
00:45:28,147.1999969,176,53
00:45:32,146.1999969,173,44
00:45:36,146.8000031,170,43
00:45:40,146.8000031,166,0
00:45:44,146.8000031,162,0
00:45:48,146.8000031,159,46
00:45:52,147.0,156,39
00:45:56,146.3999939,153,0
00:46:00,146.0,150,60
00:46:04,146.0,147,0
00:46:08,146.0,144,60
00:46:12,146.0,143,60
00:46:16,146.0,146,0
00:46:20,146.0,143,33
00:46:24,145.3999939,142,0
00:46:28,144.8000031,143,0
00:46:32,144.0,140,49
00:46:36,144.8000031,143,0
00:46:40,145.0,143,30
00:46:44,146.0,144,50
00:46:48,146.1999969,147,56
00:46:52,146.6000061,150,56
00:46:56,147.0,154,52
00:47:00,147.1999969,158,38
00:47:04,147.8000031,161,46
00:47:08,148.0,163,45
00:47:12,148.3999939,165,46
00:47:16,148.6000061,169,40
00:47:20,148.6000061,170,40
00:47:24,149.0,173,57
00:47:28,149.8000031,174,0
00:47:32,149.6000061,174,0
00:47:36,149.1999969,171,0
00:47:40,147.8000031,167,0
00:47:44,148.0,164,0
00:47:48,148.1999969,162,0
00:47:52,147.8000031,159,41
00:47:56,147.8000031,159,41
00:48:00,148.0,159,43
00:48:04,148.1999969,162,51
00:48:08,149.0,159,50
00:48:12,150.6000061,156,0
00:48:16,151.3999939,153,52
00:48:20,152.0,150,49
00:48:24,152.3999939,147,39
00:48:28,153.8000031,147,44
00:48:32,154.0,148,45
00:48:36,154.1999969,148,45
00:48:40,154.6000061,151,46
00:48:44,154.8000031,154,45
00:48:48,156.0,157,46
00:48:52,157.0,160,36
00:48:56,158.8000031,162,45
00:49:00,161.1999969,165,53
00:49:04,162.1999969,166,52
00:49:08,162.8000031,169,50
00:49:12,163.0,169,50
00:49:16,163.3999939,172,49
00:49:20,163.8000031,176,38
00:49:24,164.0,177,45
00:49:28,165.1999969,178,48
00:49:32,165.3999939,178,39
00:49:36,165.6000061,177,41
00:49:40,165.3999939,175,41
00:49:44,165.1999969,175,40
00:49:48,162.6000061,172,0
00:49:52,159.3999939,169,0
00:49:56,157.8000031,166,0
00:50:00,155.6000061,163,0
00:50:04,154.6000061,162,0
00:50:08,153.1999969,159,0
00:50:12,152.6000061,158,0
00:50:16,151.3999939,158,0
00:50:20,150.1999969,158,33
00:50:24,149.3999939,161,33
00:50:28,148.1999969,164,0
00:50:32,148.6000061,161,0
00:50:36,148.6000061,158,0
00:50:40,150.0,153,33
00:50:44,150.1999969,150,34
00:50:48,150.1999969,151,35
00:50:52,150.1999969,152,35
00:50:56,150.1999969,154,50
00:51:00,150.6000061,158,49
00:51:04,150.6000061,162,51
00:51:08,150.6000061,165,49
00:51:12,150.8000031,168,45
00:51:16,150.8000031,169,46
00:51:20,150.8000031,172,55
00:51:24,150.8000031,175,58
00:51:28,150.6000061,177,58
00:51:32,149.3999939,173,0
00:51:36,147.8000031,170,0
00:51:40,147.0,170,58
00:51:44,147.0,170,53
00:51:48,147.0,167,0
00:51:52,146.8000031,164,0
00:51:56,146.6000061,161,40
00:52:00,148.0,160,32
00:52:04,147.1999969,157,32
00:52:08,147.0,157,32
00:52:12,146.8000031,154,32
00:52:16,146.3999939,151,32
00:52:20,146.0,147,0
00:52:24,146.0,144,0
00:52:28,146.0,140,37
00:52:32,145.3999939,138,37
00:52:36,144.8000031,137,47
00:52:40,144.0,135,58
00:52:44,144.8000031,135,120
00:52:48,145.1999969,136,43
00:52:52,145.8000031,139,47
00:52:56,146.3999939,142,34
00:53:00,147.3999939,145,44
00:53:04,147.8000031,148,43
00:53:08,148.0,151,40
00:53:12,148.3999939,154,45
00:53:16,149.0,157,43
00:53:20,149.0,160,45
00:53:24,149.0,163,42
00:53:28,149.0,166,51
00:53:32,149.0,169,51
00:53:36,149.0,170,50
00:53:40,150.1999969,169,0
00:53:44,150.0,166,0
00:53:48,149.3999939,163,0
00:53:52,148.8000031,159,0
00:53:56,147.8000031,155,0
00:54:00,148.1999969,152,0
00:54:04,148.1999969,149,0
00:54:08,147.8000031,152,36
00:54:12,148.1999969,155,36
00:54:16,150.6000061,156,30
00:54:20,151.0,156,30
00:54:24,153.1999969,153,44
00:54:28,153.8000031,153,45
00:54:32,154.6000061,157,60
00:54:36,154.8000031,160,60
00:54:40,155.1999969,163,50
00:54:44,156.3999939,166,43
00:54:48,158.3999939,169,36
00:54:52,160.1999969,172,36
00:54:56,161.6000061,174,40
00:55:00,163.1999969,177,48
00:55:04,165.1999969,179,36
00:55:08,165.3999939,178,36
00:55:12,165.3999939,178,36
00:55:16,163.8000031,177,0
00:55:20,160.3999939,174,0
00:55:24,158.6000061,171,0
00:55:28,156.3999939,168,0
00:55:32,154.3999939,167,0
00:55:36,153.1999969,163,0
00:55:40,152.3999939,160,0
00:55:44,151.0,158,0
00:55:48,149.8000031,158,33
00:55:52,149.0,158,33
00:55:56,148.1999969,161,33
00:56:00,148.1999969,158,54
00:56:04,148.3999939,157,54
00:56:08,148.8000031,153,0
00:56:12,148.3999939,151,0
00:56:16,150.1999969,149,33
00:56:20,150.3999939,149,33
00:56:24,150.8000031,152,44
00:56:28,151.0,156,41
00:56:32,151.1999969,159,45
00:56:36,151.1999969,162,44
00:56:40,151.1999969,163,44
00:56:44,151.1999969,164,44
00:56:48,151.1999969,167,36
00:56:52,151.0,170,46
00:56:56,149.6000061,168,0
00:57:00,148.8000031,167,0
00:57:04,147.0,164,0
00:57:08,147.0,162,0
00:57:12,147.0,159,0
00:57:16,146.8000031,156,0
00:57:20,146.3999939,153,0
00:57:24,146.6000061,150,0
00:57:28,147.0,153,30
00:57:32,147.3999939,153,51
00:57:36,146.8000031,152,41
00:57:40,146.3999939,151,55
00:57:44,146.0,150,58
00:57:48,146.0,151,59
00:57:52,146.0,149,35
00:57:56,146.0,149,0
00:58:00,145.1999969,147,0
00:58:04,144.6000061,145,0
00:58:08,144.8000031,141,36
00:58:12,145.0,141,36
00:58:16,145.0,144,36
00:58:20,145.0,145,36
00:58:24,145.3999939,148,44
00:58:28,146.6000061,151,45
00:58:32,147.1999969,154,43
00:58:36,147.8000031,157,43
00:58:40,149.0,160,44
00:58:44,149.1999969,163,37
00:58:48,149.1999969,165,44
00:58:52,149.3999939,168,50
00:58:56,149.6000061,171,47
00:59:00,150.0,169,0
00:59:04,149.1999969,166,0
